"id","name"
0,""
1,"Abra"
2,"Agusan del Norte"
3,"Agusan del Sur"
4,"Aklan"
5,"Albay"
6,"Antique"
7,"Apayao"
8,"Aurora"
9,"Basilan"
10,"Bataan"
11,"Batanes"
12,"Batangas"
13,"Benguet"
14,"Biliran"
15,"Bohol"
16,"Bukidnon"
17,"Bulacan"
18,"Butuan City"
19,"Cagayan"
20,"Cagayan de Oro City"
21,"Camarines Norte"
22,"Camarines Sur"
23,"Camiguin"
24,"Capiz"
25,"Catanduanes"
26,"Cavite"
27,"Cebu"
28,"Compostela Valley"
29,"Cotabato (North Cotabato)"
30,"Davao City"
31,"Davao Occidental"
32,"Davao Oriental"
33,"Davao del Norte"
34,"Davao del Sur"
35,"Dinagat Islands"
36,"Eastern Samar"
37,"General Santos City"
38,"Guimaras"
39,"Ifugao"
40,"Iligan City"
41,"Ilocos Norte"
42,"Ilocos Sur"
43,"Iloilo"
44,"Iloilo City"
45,"Inter-regional"
46,"Isabela"
47,"Kalinga"
48,"La Union"
49,"Laguna"
50,"Lanao del Norte"
51,"Lanao del Sur"
52,"Leyte"
53,"Maguindanao"
54,"Marinduque"
55,"Masbate"
56,"Misamis Occidental"
57,"Misamis Oriental"
58,"Mountain Province"
59,"Nationwide"
60,"Negros Occidental"
61,"Negros Oriental"
62,"Northern Samar"
63,"Nueva Ecija"
64,"Nueva Vizcaya"
65,"Occidental Mindoro"
66,"Oriental Mindoro"
67,"Palawan"
68,"Pampanga"
69,"Pangasinan"
70,"Puerto Princesa City"
71,"Quezon"
72,"Quirino"
73,"Regionwide"
74,"Regionwide (1)"
75,"Regionwide (10)"
76,"Regionwide (11)"
77,"Regionwide (12)"
78,"Regionwide (2)"
79,"Regionwide (3)"
80,"Regionwide (4A)"
81,"Regionwide (4B)"
82,"Regionwide (5)"
83,"Regionwide (6)"
84,"Regionwide (8)"
85,"Regionwide (9)"
86,"Regionwide (ARMM)"
87,"Regionwide (CAR)"
88,"Regionwide (CARAGA)"
89,"Rizal"
90,"Romblon"
91,"Samar"
92,"Santiago City"
93,"Sarangani"
94,"Siquijor"
95,"Sorsogon"
96,"South Cotabato"
97,"Southern Leyte"
98,"Sultan Kudarat"
99,"Sulu"
100,"Surigao del Norte"
101,"Surigao del Sur"
102,"Tarlac"
103,"Tawi-Tawi"
104,"Zambales"
105,"Zamboanga City"
106,"Zamboanga Sibugay"
107,"Zamboanga del Norte"
108,"Zamboanga del Sur"
